"Kod";"Nazwa";"ludność na 1 km2;2021;[osoba]";
2213093;"Skarszewy (3)";88;
2213094;"Skarszewy - miasto (4)";641;
2213095;"Skarszewy - obszar wiejski (5)";50;
2213102;"Skórcz (2)";48;
2213112;"Smętowo Graniczne (2)";60;
2213122;"Starogard Gdański (2)";87;
2213132;"Zblewo (2)";87;
2214000;"Powiat tczewski";165;
2214011;"Tczew (1)";2641;
2214023;"Gniew (3)";78;
2214024;"Gniew - miasto (4)";1082;
2214025;"Gniew - obszar wiejski (5)";46;
2214032;"Morzeszczyn (2)";40;
2214043;"Pelplin (3)";112;
2214044;"Pelplin - miasto (4)";1699;
2214045;"Pelplin - obszar wiejski (5)";61;
2214052;"Subkowy (2)";71;
2214062;"Tczew (2)";91;
2215000;"Powiat wejherowski";172;
2215011;"Reda (1)";807;
2215021;"Rumia (1)";1659;
2215031;"Wejherowo (1)";1796;
2215042;"Choczewo (2)";29;
2215052;"Gniewino (2)";42;
2215062;"Linia (2)";54;
2215072;"Luzino (2)";154;
2215082;"Łęczyce (2)";52;
2215092;"Szemud (2)";108;
2215102;"Wejherowo (2)";144;
2216000;"Powiat sztumski";56;
2216013;"Dzierzgoń (3)";69;
2216014;"Dzierzgoń - miasto (4)";1344;
2216015;"Dzierzgoń - obszar wiejski (5)";30;
2216022;"Mikołajki Pomorskie (2)";39;
2216032;"Stary Dzierzgoń (2)";21;
2216042;"Stary Targ (2)";44;
2216053;"Sztum (3)";99;
2216054;"Sztum - miasto (4)";2105;
2216055;"Sztum - obszar wiejski (5)";47;
2261000;"Powiat m.Gdańsk";1797;
2261011;"Gdańsk (1)";1797;
2262000;"Powiat m.Gdynia";1805;
2262011;"Gdynia (1)";1805;
2263000;"Powiat m.Słupsk";2059;
2263011;"Słupsk (1)";2059;
2264000;"Powiat m.Sopot";2020;
2264011;"Sopot (1)";2020;
2400000;"ŚLĄSKIE";361;
2401000;"Powiat będziński";401;
2401011;"Będzin (1)";1477;
2401021;"Czeladź (1)";1876;
2401031;"Wojkowice (1)";691;
2401042;"Bobrowniki (2)";235;
2401052;"Mierzęcice (2)";155;
2401062;"Psary (2)";265;
2401073;"Siewierz (3)";109;
2401074;"Siewierz - miasto (4)";144;
2401075;"Siewierz - obszar wiejski (5)";91;
2401081;"Sławków (1)";188;
2402000;"Powiat bielski";363;
2402011;"Szczyrk (1)";144;
2402022;"Bestwina (2)";317;
2402032;"Buczkowice (2)";576;
2402043;"Czechowice-Dziedzice (3)";683;
2402044;"Czechowice-Dziedzice - miasto (4)";1084;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";289;
2402052;"Jasienica (2)";271;
2402062;"Jaworze (2)";353;
2402072;"Kozy (2)";491;
2402082;"Porąbka (2)";243;
2402093;"Wilamowice (3)";312;
2402094;"Wilamowice - miasto (4)";304;
2402095;"Wilamowice - obszar wiejski (5)";314;
2402102;"Wilkowice (2)";390;
2403000;"Powiat cieszyński";242;
2403011;"Cieszyn (1)";1171;
2403021;"Ustroń (1)";269;
2403031;"Wisła (1)";99;
2403042;"Brenna (2)";119;
2403052;"Chybie (2)";310;
2403062;"Dębowiec (2)";137;
2403072;"Goleszów (2)";199;
2403082;"Hażlach (2)";223;
2403092;"Istebna (2)";145;
2403103;"Skoczów (3)";421;
2403104;"Skoczów - miasto (4)";1421;
2403105;"Skoczów - obszar wiejski (5)";237;
2403113;"Strumień (3)";227;
2403114;"Strumień - miasto (4)";579;
2403115;"Strumień - obszar wiejski (5)";185;
2403122;"Zebrzydowice (2)";316;
2404000;"Powiat częstochowski";88;
2404013;"Blachownia (3)";191;
2404014;"Blachownia - miasto (4)";256;
2404015;"Blachownia - obszar wiejski (5)";112;
2404022;"Dąbrowa Zielona (2)";38;
2404032;"Janów (2)";40;
2404042;"Kamienica Polska (2)";118;
2404052;"Kłomnice (2)";90;
2404063;"Koniecpol (3)";62;
2404064;"Koniecpol - miasto (4)";155;
2404065;"Koniecpol - obszar wiejski (5)";31;
2404072;"Konopiska (2)";137;
2404082;"Kruszyna (2)";51;
2404092;"Lelów (2)";38;
2404102;"Mstów (2)";91;
2404112;"Mykanów (2)";107;
2404122;"Olsztyn (2)";72;
2404132;"Poczesna (2)";209;
2404142;"Przyrów (2)";46;
2404152;"Rędziny (2)";236;
2404162;"Starcza (2)";143;
2405000;"Powiat gliwicki";173;
2405011;"Knurów (1)";1105;
2405021;"Pyskowice (1)";592;
2405032;"Gierałtowice (2)";323;
2405042;"Pilchowice (2)";175;
2405052;"Rudziniec (2)";67;
2405063;"Sośnicowice (3)";77;
2405064;"Sośnicowice - miasto (4)";169;
2405065;"Sośnicowice - obszar wiejski (5)";67;
2405073;"Toszek (3)";93;
2405074;"Toszek - miasto (4)";363;
2405075;"Toszek - obszar wiejski (5)";64;
2405082;"Wielowieś (2)";50;
2406000;"Powiat kłobucki";94;
2406013;"Kłobuck (3)";155;
2406014;"Kłobuck - miasto (4)";267;
2406015;"Kłobuck - obszar wiejski (5)";90;
2406023;"Krzepice (3)";113;
2406024;"Krzepice - miasto (4)";155;
2406025;"Krzepice - obszar wiejski (5)";90;
2406032;"Lipie (2)";62;
2406042;"Miedźno (2)";66;
2406052;"Opatów (2)";92;
2406062;"Panki (2)";91;
2406072;"Popów (2)";57;
2406082;"Przystajń (2)";65;
2406092;"Wręczyca Wielka (2)";120;
2407000;"Powiat lubliniecki";92;
2407011;"Lubliniec (1)";262;
2407022;"Boronów (2)";60;
2407032;"Ciasna (2)";55;
2407042;"Herby (2)";78;
2407052;"Kochanowice (2)";87;
2407062;"Koszęcin (2)";91;
2407072;"Pawonków (2)";56;
2407083;"Woźniki (3)";75;
2407084;"Woźniki - miasto (4)";60;
2407085;"Woźniki - obszar wiejski (5)";94;
2408000;"Powiat mikołowski";426;
2408011;"Łaziska Górne (1)";1091;
2408021;"Mikołów (1)";518;
2408031;"Orzesze (1)";256;
2408042;"Ornontowice (2)";398;
2408052;"Wyry (2)";254;
2409000;"Powiat myszkowski";146;
2409011;"Myszków (1)";418;
2409023;"Koziegłowy (3)";89;
2409024;"Koziegłowy - miasto (4)";91;
2409025;"Koziegłowy - obszar wiejski (5)";89;
2409032;"Niegowa (2)";63;
2409042;"Poraj (2)";188;
2409053;"Żarki (3)";83;
2409054;"Żarki - miasto (4)";176;
2409055;"Żarki - obszar wiejski (5)";52;
2410000;"Powiat pszczyński";237;
2410012;"Goczałkowice-Zdrój (2)";142;
2410022;"Kobiór (2)";103;
2410032;"Miedźna (2)";332;
2410042;"Pawłowice (2)";238;
2410053;"Pszczyna (3)";302;
2410054;"Pszczyna - miasto (4)";1135;
2410055;"Pszczyna - obszar wiejski (5)";179;
2410062;"Suszec (2)";167;
2411000;"Powiat raciborski";196;
2411011;"Racibórz (1)";715;
2411022;"Kornowac (2)";195;
2411033;"Krzanowice (3)";119;
2411034;"Krzanowice - miasto (4)";683;
2411035;"Krzanowice - obszar wiejski (5)";80;
2411042;"Krzyżanowice (2)";159;
2411053;"Kuźnia Raciborska (3)";91;
2411054;"Kuźnia Raciborska - miasto (4)";164;
2411055;"Kuźnia Raciborska - obszar wiejski (5)";67;
2411062;"Nędza (2)";129;
2411072;"Pietrowice Wielkie (2)";101;
2411082;"Rudnik (2)";69;
2412000;"Powiat rybnicki";349;
2412013;"Czerwionka-Leszczyny (3)";363;
2412014;"Czerwionka-Leszczyny - miasto (4)";736;
2412015;"Czerwionka-Leszczyny - obszar wiejski (5)";181;
2412022;"Gaszowice (2)";499;
2412032;"Jejkowice (2)";552;
2412042;"Lyski (2)";169;
2412052;"Świerklany (2)";522;
2413000;"Powiat tarnogórski";219;
2413011;"Kalety (1)";111;
2413021;"Miasteczko Śląskie (1)";108;
2413031;"Radzionków (1)";1277;
2413041;"Tarnowskie Góry (1)";737;
2413052;"Krupski Młyn (2)";81;
2413062;"Ożarowice (2)";128;
2413072;"Świerklaniec (2)";283;
2413082;"Tworóg (2)";66;
2413092;"Zbrosławice (2)";111;
2414000;"Powiat bieruńsko-lędziński";379;
2414011;"Bieruń (1)";478;
2414021;"Imielin (1)";335;
2414031;"Lędziny (1)";528;
2414042;"Bojszowy (2)";235;
2414052;"Chełm Śląski (2)";275;
2415000;"Powiat wodzisławski";542;
2415011;"Pszów (1)";667;
2415021;"Radlin (1)";1396;
2415031;"Rydułtowy (1)";1416;
2415041;"Wodzisław Śląski (1)";951;
2415052;"Godów (2)";363;
2415062;"Gorzyce (2)";331;
2415072;"Lubomia (2)";188;
2415082;"Marklowice (2)";396;
2415092;"Mszana (2)";246;
2416000;"Powiat zawierciański";115;
2416011;"Poręba (1)";210;
2416021;"Zawiercie (1)";564;
2416032;"Irządze (2)";36;
2416042;"Kroczyce (2)";56;
2416053;"Łazy (3)";118;
2416054;"Łazy - miasto (4)";776;
2416055;"Łazy - obszar wiejski (5)";73;
2416063;"Ogrodzieniec (3)";105;
2416064;"Ogrodzieniec - miasto (4)";146;
2416065;"Ogrodzieniec - obszar wiejski (5)";84;
2416073;"Pilica (3)";59;
2416074;"Pilica - miasto (4)";231;
2416075;"Pilica - obszar wiejski (5)";49;
2416083;"Szczekociny (3)";55;
2416084;"Szczekociny - miasto (4)";193;
2416085;"Szczekociny - obszar wiejski (5)";34;
2416092;"Włodowice (2)";67;
2416102;"Żarnowiec (2)";36;
2417000;"Powiat żywiecki";146;
2417011;"Żywiec (1)";600;
2417022;"Czernichów (2)";117;
2417032;"Gilowice (2)";226;
2417042;"Jeleśnia (2)";77;
2417052;"Koszarawa (2)";74;
2417062;"Lipowa (2)";187;
2417072;"Łękawica (2)";107;
2417082;"Łodygowice (2)";411;
2417092;"Milówka (2)";101;
2417102;"Radziechowy-Wieprz (2)";201;
2417112;"Rajcza (2)";66;
2417122;"Ślemień (2)";78;
2417132;"Świnna (2)";204;
2417142;"Ujsoły (2)";40;
2417152;"Węgierska Górka (2)";195;
2461000;"Powiat m.Bielsko-Biała";1352;
2461011;"Bielsko-Biała (1)";1352;
2462000;"Powiat m.Bytom";2321;
2462011;"Bytom (1)";2321;
2463000;"Powiat m.Chorzów";3178;
2463011;"Chorzów (1)";3178;
2464000;"Powiat m.Częstochowa";1342;
2464011;"Częstochowa (1)";1342;
2465000;"Powiat m.Dąbrowa Górnicza";620;
2465011;"Dąbrowa Górnicza (1)";620;
2466000;"Powiat m.Gliwice";1308;
2466011;"Gliwice (1)";1308;
2467000;"Powiat m.Jastrzębie-Zdrój";1015;
2467011;"Jastrzębie-Zdrój (1)";1015;
2468000;"Powiat m.Jaworzno";586;
2468011;"Jaworzno (1)";586;
2469000;"Powiat m.Katowice";1743;
2469011;"Katowice (1)";1743;
2470000;"Powiat m.Mysłowice";1129;
2470011;"Mysłowice (1)";1129;
2471000;"Powiat m.Piekary Śląskie";1356;
2471011;"Piekary Śląskie (1)";1356;
2472000;"Powiat m.Ruda Śląska";1737;
2472011;"Ruda Śląska (1)";1737;
2473000;"Powiat m.Rybnik";917;
2473011;"Rybnik (1)";917;
2474000;"Powiat m.Siemianowice Śląskie";2576;
2474011;"Siemianowice Śląskie (1)";2576;
2475000;"Powiat m.Sosnowiec";2139;
2475011;"Sosnowiec (1)";2139;
2476000;"Powiat m.Świętochłowice";3650;
2476011;"Świętochłowice (1)";3650;
2477000;"Powiat m.Tychy";1537;
2477011;"Tychy (1)";1537;
2478000;"Powiat m.Zabrze";2101;
2478011;"Zabrze (1)";2101;
2479000;"Powiat m.Żory";972;
2479011;"Żory (1)";972;
2600000;"ŚWIĘTOKRZYSKIE";104;
2601000;"Powiat buski";73;
2601013;"Busko-Zdrój (3)";134;
2601014;"Busko-Zdrój - miasto (4)";1247;
2601015;"Busko-Zdrój - obszar wiejski (5)";73;
2601022;"Gnojno (2)";45;
2601033;"Nowy Korczyn (3)";49;
2601034;"Nowy Korczyn - miasto (4)";123;
2601035;"Nowy Korczyn - obszar wiejski (5)";44;
2601043;"Pacanów (3)";57;
2601044;"Pacanów - miasto (4)";158;
2601045;"Pacanów - obszar wiejski (5)";51;
2601052;"Solec-Zdrój (2)";58;
2601063;"Stopnica (3)";59;
2601064;"Stopnica - miasto (4)";309;
2601065;"Stopnica - obszar wiejski (5)";50;
2601072;"Tuczępy (2)";44;
2601083;"Wiślica (3)";53;
2601084;"Wiślica - miasto (4)";106;
2601085;"Wiślica - obszar wiejski (5)";51;
2602000;"Powiat jędrzejowski";67;
2602012;"Imielno (2)";42;
2602023;"Jędrzejów (3)";121;
2602024;"Jędrzejów - miasto (4)";1282;
2602025;"Jędrzejów - obszar wiejski (5)";60;
2602033;"Małogoszcz (3)";78;
2602034;"Małogoszcz - miasto (4)";371;
2602035;"Małogoszcz - obszar wiejski (5)";57;
2602042;"Nagłowice (2)";41;
2602052;"Oksa (2)";49;
2602063;"Sędziszów (3)";84;
2602064;"Sędziszów - miasto (4)";794;
2602065;"Sędziszów - obszar wiejski (5)";43;
2602072;"Słupia (2)";39;
2602082;"Sobków (2)";58;
2602093;"Wodzisław (3)";38;
2602094;"Wodzisław - miasto (4)";138;
2602095;"Wodzisław - obszar wiejski (5)";34;
2603000;"Powiat kazimierski";78;
2603012;"Bejsce (2)";69;
2603022;"Czarnocin (2)";53;
2603033;"Kazimierza Wielka (3)";114;
2603034;"Kazimierza Wielka - miasto (4)";870;
2603035;"Kazimierza Wielka - obszar wiejski (5)";79;
2603043;"Opatowiec (3)";46;
2603044;"Opatowiec - miasto (4)";62;
2603045;"Opatowiec - obszar wiejski (5)";45;
2603053;"Skalbmierz (3)";73;
2603054;"Skalbmierz - miasto (4)";177;
2603055;"Skalbmierz - obszar wiejski (5)";64;
2604000;"Powiat kielecki";94;
2604012;"Bieliny (2)";116;
2604023;"Bodzentyn (3)";71;
2604024;"Bodzentyn - miasto (4)";251;
2604025;"Bodzentyn - obszar wiejski (5)";61;
2604033;"Chęciny (3)";117;
2604034;"Chęciny - miasto (4)";309;
2604035;"Chęciny - obszar wiejski (5)";93;
2604043;"Chmielnik (3)";78;
2604044;"Chmielnik - miasto (4)";456;
2604045;"Chmielnik - obszar wiejski (5)";56;
2604053;"Daleszyce (3)";71;
2604054;"Daleszyce - miasto (4)";183;
2604055;"Daleszyce - obszar wiejski (5)";63;
2604062;"Górno (2)";177;
2604073;"Łagów (3)";59;
2604074;"Łagów - miasto (4)";187;
2604075;"Łagów - obszar wiejski (5)";49;
2604082;"Łopuszno (2)";50;
2604092;"Masłów (2)";132;
2604102;"Miedziana Góra (2)";166;
2604112;"Mniów (2)";97;
2604123;"Morawica (3)";122;
2604124;"Morawica - miasto (4)";394;
2604125;"Morawica - obszar wiejski (5)";113;
2604133;"Nowa Słupia (3)";108;
2604134;"Nowa Słupia - miasto (4)";96;
2604135;"Nowa Słupia - obszar wiejski (5)";110;
2604142;"Piekoszów (2)";160;
2604153;"Pierzchnica (3)";44;
2604154;"Pierzchnica - miasto (4)";166;
2604155;"Pierzchnica - obszar wiejski (5)";35;
2604162;"Raków (2)";29;
2604172;"Nowiny (2)";176;
2604182;"Strawczyn (2)";128;
2604192;"Zagnańsk (2)";102;
2605000;"Powiat konecki";68;
2605012;"Fałków (2)";32;
2605022;"Gowarczów (2)";45;
2605033;"Końskie (3)";138;
2605034;"Końskie - miasto (4)";1051;
2605035;"Końskie - obszar wiejski (5)";68;
2605043;"Radoszyce (3)";59;
2605044;"Radoszyce - miasto (4)";177;
2605045;"Radoszyce - obszar wiejski (5)";43;
2605052;"Ruda Maleniecka (2)";27;
2605062;"Słupia Konecka (2)";30;
2605072;"Smyków (2)";60;
2605083;"Stąporków (3)";70;
2605084;"Stąporków - miasto (4)";500;
2605085;"Stąporków - obszar wiejski (5)";49;
2606000;"Powiat opatowski";56;
2606012;"Baćkowice (2)";50;
2606022;"Iwaniska (2)";61;
2606032;"Lipnik (2)";62;
2606043;"Opatów (3)";100;
2606044;"Opatów - miasto (4)";671;
2606045;"Opatów - obszar wiejski (5)";49;
2606053;"Ożarów (3)";57;
2606054;"Ożarów - miasto (4)";564;
2606055;"Ożarów - obszar wiejski (5)";35;
2606062;"Sadowie (2)";47;
2606072;"Tarłów (2)";30;
2606082;"Wojciechowice (2)";46;
2607000;"Powiat ostrowiecki";172;
2607011;"Ostrowiec Świętokrzyski (1)";1427;
2607022;"Bałtów (2)";32;
2607032;"Bodzechów (2)";107;
2607043;"Ćmielów (3)";61;
2607044;"Ćmielów - miasto (4)";221;
2607045;"Ćmielów - obszar wiejski (5)";41;
2607053;"Kunów (3)";85;
2607054;"Kunów - miasto (4)";394;
2607055;"Kunów - obszar wiejski (5)";64;
2607062;"Waśniów (2)";60;
2608000;"Powiat pińczowski";62;
2608013;"Działoszyce (3)";45;
2608014;"Działoszyce - miasto (4)";459;
2608015;"Działoszyce - obszar wiejski (5)";37;
2608022;"Kije (2)";43;
2608032;"Michałów (2)";40;
2608043;"Pińczów (3)";95;
2608044;"Pińczów - miasto (4)";724;
2608045;"Pińczów - obszar wiejski (5)";49;
2608052;"Złota (2)";53;
2609000;"Powiat sandomierski";112;
2609011;"Sandomierz (1)";790;
2609022;"Dwikozy (2)";101;
2609033;"Klimontów (3)";79;
2609034;"Klimontów - miasto (4)";398;
2609035;"Klimontów - obszar wiejski (5)";63;
2609043;"Koprzywnica (3)";94;
2609044;"Koprzywnica - miasto (4)";136;
2609045;"Koprzywnica - obszar wiejski (5)";79;
2609052;"Łoniów (2)";85;
2609062;"Obrazów (2)";88;
2609072;"Samborzec (2)";98;
2609082;"Wilczyce (2)";52;
2609093;"Zawichost (3)";53;
2609094;"Zawichost - miasto (4)";84;
2609095;"Zawichost - obszar wiejski (5)";43;
2610000;"Powiat skarżyski";182;
2610011;"Skarżysko-Kamienna (1)";674;
2610022;"Bliżyn (2)";56;
2610032;"Łączna (2)";79;
2610042;"Skarżysko Kościelne (2)";110;
2610053;"Suchedniów (3)";132;
2610054;"Suchedniów - miasto (4)";137;
2610055;"Suchedniów - obszar wiejski (5)";114;
2611000;"Powiat starachowicki";167;
2611011;"Starachowice (1)";1473;
2611022;"Brody (2)";66;
2611032;"Mirzec (2)";73;
2611042;"Pawłów (2)";110;
2611053;"Wąchock (3)";81;
2611054;"Wąchock - miasto (4)";167;
2611055;"Wąchock - obszar wiejski (5)";61;
2612000;"Powiat staszowski";76;
2612012;"Bogoria (2)";62;
2612022;"Łubnice (2)";48;
2612033;"Oleśnica (3)";72;
2612034;"Oleśnica - miasto (4)";179;
2612035;"Oleśnica - obszar wiejski (5)";47;
2612043;"Osiek (3)";59;
2612044;"Osiek - miasto (4)";113;
2612045;"Osiek - obszar wiejski (5)";50;
2612053;"Połaniec (3)";154;
2612054;"Połaniec - miasto (4)";451;
2612055;"Połaniec - obszar wiejski (5)";64;
2612062;"Rytwiany (2)";51;
2612073;"Staszów (3)";111;
2612074;"Staszów - miasto (4)";533;
2612075;"Staszów - obszar wiejski (5)";54;
2612083;"Szydłów (3)";42;
2612084;"Szydłów - miasto (4)";66;
2612085;"Szydłów - obszar wiejski (5)";37;
2613000;"Powiat włoszczowski";49;
2613012;"Kluczewsko (2)";37;
2613022;"Krasocin (2)";55;
2613032;"Moskorzew (2)";36;
2613042;"Radków (2)";28;
2613052;"Secemin (2)";29;
2613063;"Włoszczowa (3)";75;
2613064;"Włoszczowa - miasto (4)";320;
2613065;"Włoszczowa - obszar wiejski (5)";41;
2661000;"Powiat m.Kielce";1746;
2661011;"Kielce (1)";1746;
2800000;"WARMIŃSKO-MAZURSKIE";58;
2801000;"Powiat bartoszycki";43;
2801011;"Bartoszyce (1)";1917;
2801021;"Górowo Iławeckie (1)";1146;
2801032;"Bartoszyce (2)";25;
2801043;"Bisztynek (3)";30;
2801044;"Bisztynek - miasto (4)";1056;
2801045;"Bisztynek - obszar wiejski (5)";19;
2801052;"Górowo Iławeckie (2)";16;
2801063;"Sępopol (3)";24;
2801064;"Sępopol - miasto (4)";402;
2801065;"Sępopol - obszar wiejski (5)";17;
2802000;"Powiat braniewski";34;
2802011;"Braniewo (1)";1360;
2802022;"Braniewo (2)";19;
2802033;"Frombork (3)";28;
2802034;"Frombork - miasto (4)";298;
2802035;"Frombork - obszar wiejski (5)";10;
2802042;"Lelkowo (2)";14;
2802053;"Pieniężno (3)";25;
2802054;"Pieniężno - miasto (4)";698;
2802055;"Pieniężno - obszar wiejski (5)";14;
2802062;"Płoskinia (2)";14;
2802072;"Wilczęta (2)";20;
2803000;"Powiat działdowski";67;
2803011;"Działdowo (1)";1825;
2803022;"Działdowo (2)";36;
2803032;"Iłowo-Osada (2)";69;
2803043;"Lidzbark (3)";54;
2803044;"Lidzbark - miasto (4)";1328;
2803045;"Lidzbark - obszar wiejski (5)";25;
2803052;"Płośnica (2)";33;
2803062;"Rybno (2)";48;
2804000;"Powiat elbląski";40;
2804012;"Elbląg (2)";40;
2804022;"Godkowo (2)";18;
2804032;"Gronowo Elbląskie (2)";57;
2804042;"Markusy (2)";37;
2804052;"Milejewo (2)";36;
2804063;"Młynary (3)";27;
2804064;"Młynary - miasto (4)";636;
2804065;"Młynary - obszar wiejski (5)";17;
2804073;"Pasłęk (3)";72;
2804074;"Pasłęk - miasto (4)";1130;
2804075;"Pasłęk - obszar wiejski (5)";28;
2804082;"Rychliki (2)";28;
2804093;"Tolkmicko (3)";31;
2804094;"Tolkmicko - miasto (4)";1145;
2804095;"Tolkmicko - obszar wiejski (5)";19;
2805000;"Powiat ełcki";82;
2805011;"Ełk (1)";2930;
2805022;"Ełk (2)";32;
2805032;"Kalinowo (2)";23;
2805042;"Prostki (2)";31;
2805052;"Stare Juchy (2)";18;
2806000;"Powiat giżycki";50;
2806011;"Giżycko (1)";2084;
2806042;"Giżycko (2)";29;
2806052;"Kruklanki (2)";15;
2806062;"Miłki (2)";22;
2806083;"Ryn (3)";27;
2806084;"Ryn - miasto (4)";672;
2806085;"Ryn - obszar wiejski (5)";14;
2806102;"Wydminy (2)";26;
2807000;"Powiat iławski";66;
2807011;"Iława (1)";1508;
2807021;"Lubawa (1)";616;
2807032;"Iława (2)";31;
2807043;"Kisielice (3)";34;
2807044;"Kisielice - miasto (4)";607;
2807045;"Kisielice - obszar wiejski (5)";22;
2807052;"Lubawa (2)";45;
2807063;"Susz (3)";48;
2807064;"Susz - miasto (4)";821;
2807065;"Susz - obszar wiejski (5)";28;
2807073;"Zalewo (3)";26;
2807074;"Zalewo - miasto (4)";256;
2807075;"Zalewo - obszar wiejski (5)";18;
2808000;"Powiat kętrzyński";50;
2808011;"Kętrzyn (1)";2554;
2808022;"Barciany (2)";20;
2808032;"Kętrzyn (2)";29;
2808043;"Korsze (3)";38;
2808044;"Korsze - miasto (4)";1016;
2808045;"Korsze - obszar wiejski (5)";22;
2808053;"Reszel (3)";41;
2808054;"Reszel - miasto (4)";1165;
2808055;"Reszel - obszar wiejski (5)";17;
2808062;"Srokowo (2)";19;
2809000;"Powiat lidzbarski";44;
2809011;"Lidzbark Warmiński (1)";1072;
2809022;"Kiwity (2)";22;
2809032;"Lidzbark Warmiński (2)";18;
2809042;"Lubomino (2)";24;
2809053;"Orneta (3)";48;
2809054;"Orneta - miasto (4)";887;
2809055;"Orneta - obszar wiejski (5)";13;
2810000;"Powiat mrągowski";46;
2810011;"Mrągowo (1)";1415;
2810023;"Mikołajki (3)";31;
2810024;"Mikołajki - miasto (4)";397;
2810025;"Mikołajki - obszar wiejski (5)";17;
2810032;"Mrągowo (2)";27;
2810042;"Piecki (2)";24;
2810052;"Sorkwity (2)";24;
2811000;"Powiat nidzicki";34;
2811012;"Janowiec Kościelny (2)";23;
2811022;"Janowo (2)";14;
2811032;"Kozłowo (2)";23;
2811043;"Nidzica (3)";55;
2811044;"Nidzica - miasto (4)";1947;
2811045;"Nidzica - obszar wiejski (5)";20;
2812000;"Powiat nowomiejski";63;
2812011;"Nowe Miasto Lubawskie (1)";928;
2812022;"Biskupiec (2)";38;
2812032;"Grodziczno (2)";40;
2812042;"Kurzętnik (2)";61;
2812052;"Nowe Miasto Lubawskie (2)";60;
2813000;"Powiat olecki";38;
2813032;"Kowale Oleckie (2)";19;
2813043;"Olecko (3)";82;
2813044;"Olecko - miasto (4)";1400;
2813045;"Olecko - obszar wiejski (5)";22;
2813052;"Świętajno (2)";18;
2813062;"Wieliczki (2)";22;
2814000;"Powiat olsztyński";45;
2814013;"Barczewo (3)";57;
2814014;"Barczewo - miasto (4)";1634;
2814015;"Barczewo - obszar wiejski (5)";34;
2814023;"Biskupiec (3)";64;
2814024;"Biskupiec - miasto (4)";2099;
2814025;"Biskupiec - obszar wiejski (5)";29;
2814033;"Dobre Miasto (3)";60;
2814034;"Dobre Miasto - miasto (4)";2028;
2814035;"Dobre Miasto - obszar wiejski (5)";23;
2814042;"Dywity (2)";78;
2814052;"Gietrzwałd (2)";39;
2814063;"Jeziorany (3)";35;
2814064;"Jeziorany - miasto (4)";907;
2814065;"Jeziorany - obszar wiejski (5)";21;
2814072;"Jonkowo (2)";45;
2814082;"Kolno (2)";17;
2814093;"Olsztynek (3)";36;
2814094;"Olsztynek - miasto (4)";965;
2814095;"Olsztynek - obszar wiejski (5)";17;
2814102;"Purda (2)";28;
2814112;"Stawiguda (2)";53;
2814122;"Świątki (2)";24;
2815000;"Powiat ostródzki";58;
2815011;"Ostróda (1)";2293;
2815022;"Dąbrówno (2)";25;
2815032;"Grunwald (2)";31;
2815042;"Łukta (2)";24;
2815052;"Małdyty (2)";32;
2815063;"Miłakowo (3)";33;
2815064;"Miłakowo - miasto (4)";287;
2815065;"Miłakowo - obszar wiejski (5)";19;
2815073;"Miłomłyn (3)";30;
2815074;"Miłomłyn - miasto (4)";195;
2815075;"Miłomłyn - obszar wiejski (5)";16;
2815083;"Morąg (3)";76;
2815084;"Morąg - miasto (4)";2162;
2815085;"Morąg - obszar wiejski (5)";34;
2815092;"Ostróda (2)";40;
2816000;"Powiat piski";31;
2816013;"Biała Piska (3)";27;
2816014;"Biała Piska - miasto (4)";1230;
2816015;"Biała Piska - obszar wiejski (5)";18;
2816023;"Orzysz (3)";24;
2816024;"Orzysz - miasto (4)";670;
2816025;"Orzysz - obszar wiejski (5)";9;
2816033;"Pisz (3)";43;
2816034;"Pisz - miasto (4)";1865;
2816035;"Pisz - obszar wiejski (5)";14;
2816043;"Ruciane-Nida (3)";22;
2816044;"Ruciane-Nida - miasto (4)";255;
2816045;"Ruciane-Nida - obszar wiejski (5)";10;
2817000;"Powiat szczycieński";35;
2817011;"Szczytno (1)";2131;
2817022;"Dźwierzuty (2)";24;
2817032;"Jedwabno (2)";11;
2817043;"Pasym (3)";35;
2817044;"Pasym - miasto (4)";163;
2817045;"Pasym - obszar wiejski (5)";20;
2817052;"Rozogi (2)";24;
2817062;"Szczytno (2)";39;
2817072;"Świętajno (2)";20;
2817083;"Wielbark (3)";18;
2817084;"Wielbark - miasto (4)";161;
2817085;"Wielbark - obszar wiejski (5)";11;
2818000;"Powiat gołdapski";34;
2818012;"Banie Mazurskie (2)";17;
2818022;"Dubeninki (2)";14;
2818033;"Gołdap (3)";55;
2818034;"Gołdap - miasto (4)";788;
2818035;"Gołdap - obszar wiejski (5)";19;
2819000;"Powiat węgorzewski";32;
2819012;"Budry (2)";15;
2819022;"Pozezdrze (2)";18;
2819033;"Węgorzewo (3)";48;
2819034;"Węgorzewo - miasto (4)";1018;
2819035;"Węgorzewo - obszar wiejski (5)";16;
2861000;"Powiat m.Elbląg";1471;
2861011;"Elbląg (1)";1471;
2862000;"Powiat m.Olsztyn";1922;
2862011;"Olsztyn (1)";1922;
3000000;"WIELKOPOLSKIE";117;
3001000;"Powiat chodzieski";68;
3001011;"Chodzież (1)";1408;
3001023;"Budzyń (3)";40;
3001024;"Budzyń - miasto (4)";110;
3001025;"Budzyń - obszar wiejski (5)";24;
3001032;"Chodzież (2)";29;
